가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
이수짜장,중식당,,영업 종료,4.39,343,삼선짜장면 양도 많고 고기.새우.양파 풍성하게 들어있어서 끝까지 맛있어요.,쟁반짜장 양이 엄청 많아요 옛날 짜장면 좋아하는 분이라면 여기 무조건 강추! 짬뽕도 정말 맛있어요,이수역 남성시장 안에 있는 중국집으로 가성비 좋은 짜장면을 드실 수 있습니다 볶음밥도 맛있습니다
돌담,바(BAR),,영업 중,4.84,342,제가 방문했던 칵테일 무한리필집 중 최고인 것 같아요! 중간에 마술도 보여 주셔서 신선했습니다,"칵테일 무한리필로 했을 때도, 술이 나올 때마다 예쁘게 나옵니다! 화장실도 깔끔합니다!",분위기 좋은 칵테일바! 다양한 연령층이 찾는 정말 마음에 쏙 드는 장소를 발견했어요!
해이케이크샵,케이크전문,,영업 종료,4.56,330,"급하게 당일 케이크 픽업 했는데, 만족했어요! 금방 레터링 받을 수 있어서 좋았어요",맛도 크림이 쫀쫀꾸덕하니 너무너무 좋았어요. 앞으로 기념일 케이크는 여기서 구매할거에요,너무 이쁘고 맛난 최애 케익샵 부모님도 너무 좋아할 정도로 맛있으면서 덜 달고 크림 부드럽고
소라노호시,이자카야,,영업 중,4.49,330,매장이 작고 아늑해서 바쁜 시간은 자리가 없을 수 있겠네요. 가성비와 맛 둘 다 최고의 이자카야였습니다.,모듬회와 안키모 포장해서 먹었는데 역시나 존맛탱이네요! 잘먹었습니다!,새련미 폭팔 자주 가고 싶은곳. 우동 꼭 드세요!
뽀르께노 스페니쉬 카페앤펍,스페인음식,,영업 중,,330,한 자리에서 식사+디저트 까지 모두 할 수 있어서 좋았어요! 음식은 역시 맛있어서 모두 만족 했습니다,스페인 음식 제대로 하는 펍 처음이에요. 와인도 가성비 훌륭한 좋은 와인 판매하고 음식도 진짜 맛있어요,오랫만에 맛집 발견이네요 너무 맛있다를 연발하며 먹었습니다 상그리아 향긋하고 요리와 아주 잘 어울립니다
종부네,요리주점,,영업 중,,320,이수 먹자골목 자주 다니는데 여기여길 이제 와봤네요ㅎㅎ 감태김밥에 노른자찍은 육회 얹어먹으면 최고에요 종부네,전통주 마시고 싶어서 검색해서 고르고 골라 온 종부네! 쥔장님 넘 친절하셔용 ㅎㅎ! 최고에요,와 이수에 이런곳이 있었다니 진짜 대박이예요 육사시미는 퀄리티 완전 좋고 미나리랑 조합 미쳤습니다
소하우스바,요리주점,,영업 중,,315,"첫방문 이었는데 완전 반해서 단골이 될것 같아요! 전골, 파스타 정말 추천합니다!",게내장 파스타 먹으러 또 왔어요! 리치 하이볼이랑 미도리 하이볼 너무 맛있어요!,지나가면서 분위기 좋아보여서 저장해뒀던 곳. 다음엔 위스키 마시러 와보려고요. 강추입니다 :)
럭키갈비찜,"육류,고기요리",,영업 중,4.51,304,친목 목적으로 방문한 럭키 갈비찜! 정말 맛있었어요. 매장도 너무 깔끔하고 양도 푸짐하였답니다,친구가 갈비찜이 먹고싶다해서 찾은 가게인데 너무 만족하면서 식사했습니다^^ 다음에 또 방문하겠습니다><,지나가는길에 봐뒀다가 갈비찜이 먹고 싶어서 방문했습니다. 기본 찬들도 정갈하고 맛있었습니다.
더풍년 이수점,"해물,생선요리",,영업 중,4.65,277,"우리동네 맛집! 매번 오지만 너무 맛있고, 신선하고 분위기 좋아요 해물파전 꼭 먹어요!",완전 맛있어요 숙성회 너무 좋아하는데 탑티어에요 밥도 간이 잘되어서 초밥만들어먹기딱이에오,모둠숙성회 구성넘좋고맛있어요비빔면도맛있고 다른음식들도맛있어요 추천입니다
푸바우,중식당,,영업 중,,275,"누룽지탕과 유림기, 푸바우 볶음밥 모두 진짜 개존맛이라서 재방문의사 50000%였어요!",사당역 중식 존맛집을 이제야 찾았다니.! 진짜 너무 맛있고 음식이 깔끔해서 너무 좋았습니당!,중식주점 푸바우 분위기도 너무 좋고 안주도 너무 맛있어서 반했어용 ㅎㅎ
고멘,일본식라면,,영업 종료,,260,또 신메뉴가 나왔다고해서 방문했습니다! 신메뉴인 비빔 탄탄멘은 약간 마라탕이 생각나는 맛이에요!,고기가 정말 맛있는 라멘이네요 잡내 1도 안나고 엄청 부드럽더라구요. 별미였습니다.,깔끔하고 맛있는 소유라멘입니다. 면도 맛있고 토핑도 종류가 여러가지라서 더 맛있게 먹었습니다.
헬키푸키 사당방배점,종합분식,,영업 종료,,256,으음 헬푸 부리또랑 키토김밥은 언제먹어도 존맛입니다 존맛,다이어트하는 분들에게 강추입니다! 떡볶이도 쫄면도 김밥도 양심의 가책 느끼지않고 먹을수 있는곳이에요!,키토김밥 너무 맛있어요 다이어트중인데 김밥에 쫄면이 너무 먹고싶어서 왔어요! 넘좋아요
책그리고,"카페,디저트",,영업 종료,4.35,248,커피는 무난한 맛이었습니다.,널찍한 테라스에 건강식 메뉴들이 가득하네요.,"독립서적이 있고, 커피 마시면서 책구매해서 읽을수도 있어서 좋아요. 사장님도 친절하심"
위안,요리주점,,영업 중,,231,손 많이 가는 수육전골을 푸짐하고 맛나게 먹었습니다. 친구들과 종종 가게 될 것 같습니다.,수육 최고예요 고기가 정말 맛있어요! 수육 전문점이라고 해도 될정도,수역전골 대박 맛있어요! 고기 너무 부드럽고 양도 넉넉 너무 좋았어요
뽐므,"카페,디저트",,영업 종료,,224,카페자체는 올데이브런치할 수있어서 샌드위치에 커피 주문가능해서 좋았습니다.,"너무너무 친절하시구, 나긋나긋하셔서 마음이 편안해져요 커피도 맛있고, 디저트가 진짜 맛있어요!","일요일아침 가족들과함께 브런치먹으려고 왔어요! 커피, 샌드위치, 스프 전부 맛있었어요."
부엉이산장 이수점,요리주점,,영업 중,,192,"육새전(소고기+새우) 20,000원 고추장육회 24,000원 묵사발7,000원 새우전이 크고 맛있어요",닭볶음탕 진짜 너무 맛있어서 또 왔어요 비법 궁금할 정도로 쫀맛! 테이블 사이가 넓어서 편했어요,곱도리탕 먹으러 왔는데 새로보이는 메뉴가 보여서 냅다 시켰음 불오징어? 제발 볶음밥까지드세요
힛지,요리주점,,영업 중,,182,이수역 술집 힛지에서 먹은 토마토해물스튜(파스타) 맛있습니다 각종 해산물이 듬뿍 들어가서 더욱 맛있내요,아는 단골은 늘 오늘 짱좋은 이수역 술집!ㅎㅎ나만알고픈곳이지만 우삼겹쫄면 못참지 힛지 시그니처임:),이수역에 오면 항상 오는 술집입니다! 음식이 맛있고 술종류가 다양해요 안주가 맛있습니다
라미스콘 방배점,"카페,디저트",,영업 종료,,132,스콘은 못먹어봤지만 치즈수플레 먹어봤는데 맛있었어요.,오랜만에 방문한 라미스콘! 못 보던 메뉴도 많이 생겼더라구요,"스콘맛집이라고 들었는데, 여기 레몬치크케이크도 훌륭하네요 수플레도 많이들 드시더라구요."
라빠숑,"카페,디저트",,영업 종료,,101,시그니처 음료인 이수 블랙과 콜림비아산 워터멜론 핸드드립 커피에 말렌카 꿀케이크까지 갓 벽 - !,"늦은 오후라 디카페인 주문했고, 쿠키를 덤으로 주셨네요. 디카페인 마셔보니 깔끔해요. 재방문의사 있음","라빠숑 추천. 저는 라빠숑을 늦은 오후라 디카페인으로 변경해서 먹고, 지인은 스트로베리 게이샤로 먹었어요."
소람,바(BAR),,영업 중,4.74,90,마침 눈이 펑펑 쏟아졌고 조용하고 편안한 분위기에서 위스키를 마실 수 있어 행복했어요 :),동네에 이런 위스키바가 있는 줄 몰랐네요. 단골이 되어보겠습니다.,"정말 다양한 위스키를 취급하며 위스키, 칵테일에 해박한 지식을 가진 실력있는 사장님이 운영하는 바입니다."
시로미,일식당,,영업 종료,,73,부타동 고기도 많고 맛있습니다.창문 너머 보이는 놀이터의 나무들이 초록초록 예쁘네요.,동네 산책 중에 지인들과 부타동 매력에 이끌려 들어갔어요 깔끔한 인테리어에 무난하게 맛있는 식사였습니다.,카레 우동 진짜 자극적이지 않고 너무 향긋하고 맛있어요!면발도 불지 않고 탱글한게 맛있습니다 ㅎㅎ
김재운 초밥사랑 이수점,"초밥,롤",,영업 종료,,,모듬 사시미 2인 코스가 잘 나오네요. 2명이 먹기 양 충분하고 술안주로 드시면 3명도 무리없습니다.,이수에서 먹은 초밥 중 최고에요! 아이가 좋아해서 가끔 방문합니다. 초밥집인데 돈가스마저 맛있어요:),초밥이 너무 맛있고 신선해요! 이수역 올때마다 초밥이 먹고싶으면 김재운 초밥사랑 사당점만 올거 같아요
선주가 이수역점,요리주점,새로오픈,영업 중,,,가족들과 오순도순 얘기도 할겸 새로운 술집과 맛집을 찾으러 선주가 이수역점을 방문했어요!,"한식주점 새로오픈했길래 방문해봤어요, 인테리어 분위기도 좋고 직원분들도 친절하셔서 너무.좋았습니다","선주가 이수역점 정말 메뉴 다양해요. 한식 이자카야집 찾기 쉽지 않은데, 구성도 알차고 맛있네요."
조가네족발왕,"족발,보쌈",,영업 중,,,족발 촉촉 쫀득 그자체입니다.사장님 진짜 친절하시고 너무 좋아요 이수역 맛집으로 추천합니닷 흥하세요!,이수 로컬 찐맛집 조가네족발왕 먹어본 족발중 젤 맛나요 잡내하나도 안나고 부들부들해요,항상 사람들로 붐비는 가게엔 이유가 있는거 같아요! 족발과 막국수 모두 맛있었습니당ㅎㅎ
마로,한식,새로오픈,영업 중,,,새로생겼다길래 친오빠랑 술한잔 하러 다녀왔습니다. 백된장회무침도 너무 맛있었구요,"이수역 맛집을 찾았음에 감사를, 조만간 또 재방문할게요 . . 이수역 술집 은 앞으로 마로로 정착",이수에 새로 생긴 술집을 발견해서 다녀왔는데 여기 조용히 술 한잔하기 좋고 데이트 장소로 추천해요.
군선생 이수점,요리주점,,영업 중,,,술집만 하시는 거걸로 알다가 지나가다 보니 점심 메뉴도 시작하셔서 바로 방문했습니다,예전엔 숯불로생선구엇는데 지금은화덕으로 생선을 굽네요 전보다 훨씬부드럽고 반찬도 깔끔하고 조아요,사진찍은줄 알았는데 없네요; 매콤떡볶이 먹었는데 적당히 맵고 너무 맛있었어요. 또 방문할꺼에요
