가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
조선부뚜막 이수역점,"육류,고기요리",,영업 중,,999+,야채많이 먹고 찌개도 먹고. 공기밥도 나와서 식사맛집이네요. 다음엔 목살이나 삼겹구이를 먹어야겠어요,조선부뚜막집 맛집 인정입니다^^삼겹살에 목살에 한우차돌박이에 껍데기 넘 맛있어요^^,고기집인데도 매장이청결하고 위생좋아보여요 목살이랑 냉면 너무맛있게 잘먹었어요!
힛지,요리주점,,영업 중,,182,이수역 술집 힛지에서 먹은 토마토해물스튜(파스타) 맛있습니다 각종 해산물이 듬뿍 들어가서 더욱 맛있내요,아는 단골은 늘 오늘 짱좋은 이수역 술집!ㅎㅎ나만알고픈곳이지만 우삼겹쫄면 못참지 힛지 시그니처임:),이수역에 오면 항상 오는 술집입니다! 음식이 맛있고 술종류가 다양해요 안주가 맛있습니다
고멘,일본식라면,,영업 중,,259,또 신메뉴가 나왔다고해서 방문했습니다! 신메뉴인 비빔 탄탄멘은 약간 마라탕이 생각나는 맛이에요!,고기가 정말 맛있는 라멘이네요 잡내 1도 안나고 엄청 부드럽더라구요. 별미였습니다.,깔끔하고 맛있는 소유라멘입니다. 면도 맛있고 토핑도 종류가 여러가지라서 더 맛있게 먹었습니다.
단아한정식,한정식,,영업 중,,401,맑은 탕은 해장 생각나는 시원함! 밥을 푸고 남은 돌솥에 물 부어 만든 숭늉도 먹어줍니당!,점심특선 먹었어요 항상 먹을때마다 만족스러워요 음식 깔끔 저갈해요 한식생각날때 오는곳이에요,기본반찬도 너무맛나맛나고 보리굴비 최고메요
스시세이,"초밥,롤",,영업 중,4.6,541,전복죽.샐러드.초밥.우동.아이스크림까지 모두 맛있네요.깔끔하고 분위기도 좋았어요.,죽. 우동. 연두부 튀김이 나오고 초밥도 맛나서 좋아요 가성비 좋습니다-!,평점이 좋아서 한번 먹어봤는데 그 이후로 초밥은 여기서만 먹어요 vip초밥 추천합니다.
슬로우캘리 사당이수점,"다이어트,샐러드",,영업 중,4.61,999+,여름에 입맛 없을때 제일 생각나는 포케에요 매콤하면서도 상큼한 맛이라 언제 먹어도 맛있어요,건강한 맛! 가격대는 참치 11.5 연어 12.5 포케 정도예요.,슬캘 자주먹는데 건강식으로 너무 좋아요 배고팠는데 든든하고 건강하게 식사할 수 있어서 좋았습니다.
야끼니꾸 소량 이수점,"육류,고기요리",,영업 중,,999+,여러가지 고기를 조금씩 골라 먹을수 있어서 너무 좋아요 맛도 있고 분위기도 좋아요 재방문의사 있어요,맛없는고 하나 없는 야끼니꾸집 고기 다양하게 나와서 골라먹는 재미에 하이볼도 저렴해서 완전 좋앗어용,동네 2n년차 살았는데 신박한 맛집 생겨서 너무 좋아요! 이수역 야끼니꾸+기린 생맥주 맛집이라니!
고추찜닭 본점,찜닭,,오늘 휴무,4.35,752,이수에서 찜닭 단일메뉴로 오래된 곳이에요. 노부부가 운영하시는데 느리셔도 친절하세요. 건강하세요 사장님,닭한마리 둘이먹기엔 양이많아요. 사리추가없이도 둘이먹기엔 충분한양이네요. 맛있어요.,친절하고 맛있어요 중간맛이지만 적당하게 매콤하고 좋아요 오래된 찜닭 맛집.
이수면가,"칼국수,만두",,영업 중,4.32,494,초계국수 맛있어요 일반 냉면용 면이 아니고 부드러운 면이라 속도 편해요,비오는날 해물칼국수만두전골 맛있게 잘 먹었습니다.많이 짜지 않고 만두도 맛있네요.,왕만두가 4개들어가고 보리밥도 나오고 칼국수까지 알찬 구성으로 잘 먹었습니다. 맛도 깔끔하고 맛있어요.
키친아일랜드 사당방배 본점,돈가스,,영업 중,,516,아이들과 함께 키친아일랜드에서 저녁식사 하였습니다. 등심돈까스 바삭하니 고기 부드러워요.,이수역 돈까스 맛집으로 유명하길래 돈까스 매니아 남자친구랑 다녀왔어요,"40대 남자 3명이서 등심돈까스, 새우로제파스타, 리에또를 먹었는데. 음식이 맛있고 양까지 많았어요."
이수쭈꾸미 본점,주꾸미요리,,영업 중,,671,친구들 추천으로 연말 모임 겸 오게됐는데 볶음밥까지 너무 맛있게 잘 먹었습니당! 다음에 또 올게요 :),쭈삼 추천! 적당히 매콤하고 고기랑 쭈꾸미 조합이 좋아요 나중에 볶음밥까지 더하면 완벽!,쭈꾸미 삼겹살 먹었는데 쫄깃하고 맛있어요. 매운맛도 조절되서 좋아요
스타벅스 이수역점,카페,,영업 중,4.47,999+,커피는 늘 맛있어서 이번에는 초콜렛을 사보았어요 다크와 밀크 두 종류가 있더라구요 ^^,"1+1 행사 디카페인 플랫화이트 , 돌체라테 마셨습니다 플랫화이트 아주 맛있어요",최애 더 촉촉 초콜릿 생크림 케이크입니다 스테디셀러엔 이유가 있죠 초코덕후는 초코시트라 행복해요
찰리 앤 몰리,"카페,디저트",,영업 중,,281,귀여운 매장 분위기에 반하고 베이글 맛에 한번 더 반했어용!,부추베이글 향이 향긋해서 깜짝놀랐어요! 크림도 너무 신선한느낌이네요,제 인생 베이글 맛집입니당! 친절하게 대해주시고 그만큼 맛도 너무 맛있어요! 자주올서예용
이수짜장,중식당,,영업 중,4.39,343,삼선짜장면 양도 많고 고기.새우.양파 풍성하게 들어있어서 끝까지 맛있어요.,쟁반짜장 양이 엄청 많아요 옛날 짜장면 좋아하는 분이라면 여기 무조건 강추! 짬뽕도 정말 맛있어요,이수역 남성시장 안에 있는 중국집으로 가성비 좋은 짜장면을 드실 수 있습니다 볶음밥도 맛있습니다
마로,한식,새로오픈,영업 중,,,새로생겼다길래 친오빠랑 술한잔 하러 다녀왔습니다. 백된장회무침도 너무 맛있었구요,"이수역 맛집을 찾았음에 감사를, 조만간 또 재방문할게요 . . 이수역 술집 은 앞으로 마로로 정착",이수에 새로 생긴 술집을 발견해서 다녀왔는데 여기 조용히 술 한잔하기 좋고 데이트 장소로 추천해요.
분분 이수역점,베트남음식,,영업 중,,608,오늘은 반미먹으러 왔습니다. 국수도 덮밥도 모두 맛있습니다 추천해요!,여기 너무 맛있어서 재재재재재방문이에요 항상 맛 변하지않고 분짜랑 반미랑 완전 강추맛있어요,"오늘도 맛있게 먹고 갑니다. 신메뉴 버팔로윙 나와서 먹어봤는데, 간이 딱 맞아요. 추천합니다."
사이,"카페,디저트",,영업 중,4.59,458,사이라떼랑 크로플 진짜맛있어요! 디카페인도 변경되서 좋았어요 ㅎㅎ,혼자 방문 해서 테이크 아웃 했지만 기회되면 버터스카치라떼도 먹어보려고요,디져트도 맛있고 음료도 맛있어요! 약과쿠키 최애등극 추천이에요ㅎㅎ
롯데리아 이수역점,햄버거,,24시간 영업,4.27,999+,급할 때 햄버거가 편하죠! 간만에 먹으니 만족도 굿입니다!,햄버거 집에포장해서가지고와서 양상추 더넣어먹으면 짱맛,언니랑 따뜻한 캐모마일 티 한잔하면서 긴대화를나눠서 좋았어요 ^^
라미스콘 방배점,"카페,디저트",,영업 중,,131,스콘은 못먹어봤지만 치즈수플레 먹어봤는데 맛있었어요.,오랜만에 방문한 라미스콘! 못 보던 메뉴도 많이 생겼더라구요,"스콘맛집이라고 들었는데, 여기 레몬치크케이크도 훌륭하네요 수플레도 많이들 드시더라구요."
알코홀릭드링크 서울이수점,양식,,영업 중,,167,술 종류도 다양한데 평소 궁금했던 위스키를 저렴하게 구할수 있어서 좋았어요!,데일리샷으로 술 사러 왔어요 위스키가 저렴하길래 간 김에 2병이나 더 샀아요 ㅋㅋ,
군선생 이수점,요리주점,,영업 중,,,술집만 하시는 거걸로 알다가 지나가다 보니 점심 메뉴도 시작하셔서 바로 방문했습니다,예전엔 숯불로생선구엇는데 지금은화덕으로 생선을 굽네요 전보다 훨씬부드럽고 반찬도 깔끔하고 조아요,사진찍은줄 알았는데 없네요; 매콤떡볶이 먹었는데 적당히 맵고 너무 맛있었어요. 또 방문할꺼에요
삼백돈 돈가츠 이수점,돈가스,,영업 중,4.46,999+,고기가 부드럽고 돈가스 소스 맛있어요. 카레와 우동도 시켰는데 맛있어요!,항상 맛있게 먹고 있습니다. 여름이라 소바가 더 맛있네요.,돈카츠 좋아해서 찾아보다 방문했는데 구성도 너무 좋고 완전 제 스타일이에요 앞으로 종종 방문하려구요 ㅎㅎ
돌담,바(BAR),,영업 중,4.84,342,제가 방문했던 칵테일 무한리필집 중 최고인 것 같아요! 중간에 마술도 보여 주셔서 신선했습니다,"칵테일 무한리필로 했을 때도, 술이 나올 때마다 예쁘게 나옵니다! 화장실도 깔끔합니다!",분위기 좋은 칵테일바! 다양한 연령층이 찾는 정말 마음에 쏙 드는 장소를 발견했어요!
유미카츠 이수방배점,돈가스,,영업 중,,999+,지나가기만 하다 돈가스 생각나 들러봤어요 ㅎ 무난하고 맛있어요. 밥도 많이 주시고 추가 반찬.,오늘은 쫄면을 처음시켰는대 역시나 맛나게 먹었어요^^,"떡볶이도 좋아하고, 돈까스도 진짜 좋아하는데 두메뉴를 다 먹을 수 있어서 진짜 좋았어요!"
신전떡볶이 방배점,분식,,영업 중,4.52,999+,마라로제 첫도전이었는데 국물에 튀김과 순대 찍어먹으니 맛도리네요,매운떡볶이중에 신전떡볶이가 제일 맛있어요 ! 치즈떡볶이는 처음 먹어봤는데 맛있네용!,신전떡볶이 너무 맛있어요 오징어튀김도 꼭 먹어요 굵은 당면 넣어서 먹으면 더 좋아요
방배동개성집,한식,,영업 종료,4.46,471,건강한 만두국맛이예요. 국물이 진하고 맛있어요,냉면도 맛있고. 떡국 찜만두도 기절이고. 여기 넘사벽 맛집,방배동에서 최고로다가 맛진 만두국 집이 아닐까해요. 갈때마다 만원의 행복 느끼고와요
봉평메밀마당 이수역점,막국수,,영업 중,4.4,522,메밀막국수와 매생이굴국밥 먹었고 만두까지. 맛나요! 깔끔해요,생굴 육개장 생굴 육칼 맛있어요! 다른 메뉴도 맛있어요,시원하게 모밀맛있었어요 양도많고요
산골짜기다람쥐,한식,,영업 중,4.36,576,임자탕과 도토리묵무침이 유명한 곳이라서 자주 갔던 맛집인데 한방보쌈까지 맛있네요.,보쌈 정식 너무 맛있어요 ! 한 끼 뚝딱해서 먹었습니다,진짜 너무 맛잇어여! 무말랭이무침이랑 같이 먹으면 꿀맛 맥주 말고 막걸리에 먹을걸
부엉이산장 이수점,요리주점,,영업 중,,191,"육새전(소고기+새우) 20,000원 고추장육회 24,000원 묵사발7,000원 새우전이 크고 맛있어요",닭볶음탕 진짜 너무 맛있어서 또 왔어요 비법 궁금할 정도로 쫀맛! 테이블 사이가 넓어서 편했어요,곱도리탕 먹으러 왔는데 새로보이는 메뉴가 보여서 냅다 시켰음 불오징어? 제발 볶음밥까지드세요
위안,요리주점,,영업 중,,230,손 많이 가는 수육전골을 푸짐하고 맛나게 먹었습니다. 친구들과 종종 가게 될 것 같습니다.,수육 최고예요 고기가 정말 맛있어요! 수육 전문점이라고 해도 될정도,수역전골 대박 맛있어요! 고기 너무 부드럽고 양도 넉넉 너무 좋았어요
썸머스테어,"카페,디저트",,영업 중,,718,검색해서 우연히 방문했는데 조용하고 아늑한 공간이에요! 커피랑 케익도 맛있어서 배부른데도 맛있게 먹었습니다,바닐라라떼. 썸머에이드. 썸머슈페너. 키위케이크랑 라즈베리케이크 먹었습니다:) 다 너무너무 맛있게먹었어용,"이수역에 이렇게 예쁘게 포장해주는 디저트가게가 있더라구요,? 자주 이용하겠습니다! 감사합니다!"
시로미,일식당,,영업 중,,70,부타동 고기도 많고 맛있습니다.창문 너머 보이는 놀이터의 나무들이 초록초록 예쁘네요.,동네 산책 중에 지인들과 부타동 매력에 이끌려 들어갔어요 깔끔한 인테리어에 무난하게 맛있는 식사였습니다.,카레 우동 진짜 자극적이지 않고 너무 향긋하고 맛있어요!면발도 불지 않고 탱글한게 맛있습니다 ㅎㅎ
남산터 이수점,"찌개,전골",,24시간 영업,,999+,"부대찌개종류도많고,양도많아요.약간 매운듯했지만 초등아이가 못먹을정도는 아니예요.",해장하려고 먹었는데 맛있어요! 햄도 많고 고기도 많음 약간 김치찌개와 부대찌개 중간의 맛?,양도많고 맛있어요 곱창 추가했어요!ㅋㅋ ㅋ서비스 오믈렛도 굳
3공간 사당,와인,,영업 중,4.22,207,여기 토마토 아라비아따 파스타 맛집입니다. 밖에서 와인 1병 이상 안마시는데 2병 마신 곳이에요.,카페 같기도 하고 분위기 좋은 와인 레스토랑 같기도 하고 브라이덜샤워나 생일파티룸으로도 좋아보입니다ㅋㅋ,특별한날 특별한 제3공간 너무 좋네요! 인생사진 건지고 맛난 와인에 특별했던 감바스까지!
싱싱오동도산아나고꼼장어숯불구이,"해물,생선요리",,영업 중,4.42,319,"소갈비살,오돌뼈 잔치국수 다 맛있어요 브레이크타임이 없어서 편하게 이용했네요",야장네서먹었아요 아나고 맛나네요,아나고회 너무 먹고 싶어서 갔는데 여기여긴 구이맛집인거 같았어요 다들 구이를 드시더라구요 ㅋㅋㅋ
메르시뤼탱파티세리,"카페,디저트",,영업 종료,,284,여기 밀푀유 지이이인짜 맛있어요 페스튜리는 파사사삭하고 크림은 진하고 맛있어요!,티그레+밀푀유샌드+다쿠아즈+에끌레어 1개씩 구매했는데요.,피스타치오 에끌레어가 진짜 맛있어요! 크림 색을 보면 피스타치오가 얼마나 듬뿍인지 알 수 있어요
대구형제막창 방배점,대구형제막창,,영업 중,4.54,458,좋은 숯으로 굽는 돼지막창과 닭발은 완전 존맛탱입니다. 좋은 숯으로 굽는 송이 버섯은 완전 맛돌이네요.,술이 아닌 밥으로 생각나서 가게되는 곳 진짜 맛있어요! 옛날도시락도 꼭 시키시길!,소막창 돼지막창 닭발 도시락까지 전부다 먹고 왔는데! ㅎㅎ 너무맛있어요 냄새도 없구!
탐나종합어시장 이수역점,생선회,,영업 중,,999+,이수에 맛있는 횟집 찾았어요! 회에 소주 술술들어감ㅎㅎ 불금에 완전 잘먹구갑니다 !,wow 존맛탱! 회가 정말 회같고 매운탕이 정말 매워요! 제가 이재용이라면 매일 왔을겁니다!,"회전률이 엄청나서 언제나 신선한 활어회 맛도 좋고 가격도 좋아 가족모임, 직장 회식에 아주 좋습니다"
라화방 직영7호점,중식당,,영업 중,4.45,999+,오랜만에 방문했는데 여전히 맛있는 라화방! 마라샹궈도 맛있고 꿔바로우도 여전히 바삭하고 맛있어요 :),리뷰 보고 찾아왔는데 재료도 신선하고 종류가 많아서 고르기 좋았어요! 꿔바로우도 엄청 바삭해서 맛있어용!,가성비짱좋고 맛있어요 꿔바로우도 진짜맛남! 이수역 마라탕최고맛집
파티시안,"카페,디저트",,영업 중,4.82,999+,내방역디저트 카페 맛집 파티시안입니다. 특히 여성분 100% 만족할거라 확인합니다.,내방역디저트 찐맛집 방배동 카페 파티시안! 여기여긴 정말 찐입니다. 음료도 찐 디저트는 찐찐.!,빵천국 디저트천국 방배동에서 4년 째 성업 중인 파티시안 다녀왔습니다. 음료는 꼭 오레로 시키세요
버거307 이수점,햄버거,,영업 중,4.53,561,햄버거 좋아하는 아이와 방문했어요 번이 달끈한게 부드럽고 맛있습니다.,"퀸즈파크의 퍼그버거에 기준 두고 있어서 , 평균적. 세트에 니오는 생맥주의 양이 개인적으로 적당하고 좋음.",작은 실수가 있었지만 잘 대처해주셨고 버거는 진짜 푸짐하게 잘 나오고 패티도 맛있어요 ㅎㅎ
또또즐갬성술집,요리주점,,영업 중,5,420,진심을 담은 후기입니다! 정말 당산 최고의 술집이에요! 안주를 5개정도 먹었는데 다 정말 맛있었어요!,처음 가봤는데 너무 만족했습니다! 어묵탕이랑 고기 다 맛있고 양도 많아요! 하이볼도 맛있습니다,스무살때부터 3년 내도록 가고있는 술집입니다! 안주 너무 맛있고 특히 전기바베큐통구이 진짜 맛있어요
이누식당,양식,,영업 중,4.55,999+,메뉴 다 특별하고 맛있었어요 오리 스테이크는 너무 부드럽고 처음 먹어보는 소스였는데 너무 맛있었습니다!,치즈 둠뿍 진한맛의 파스타 넘 맛있어요 크림파스타랑 오일파스타 다른 느낌이여서 같이 먹기 좋아요,내방역 파스타 맛집 이누식당에 가봤는데 레스토랑 분위기도 감성있었고 늘봄/또바기 파스타도 넘 맛있었어요!
미스사이공 이수점,베트남음식,,영업 중,4.31,999+,동네에 흔한 쌀국수 맛집ㅋ 가성비 맛있음요 ㅋ,쌀국수 3700원대부터 다닌거 같은데 세월만끔 많이 올랐네요 좋아하는 집이예요,생소해 베트남 쌀국수만 먹어 보았었는데 오늘 도전 성공. 맛있게 먹었어요.^^
타파델디아,스페인음식,,오늘 휴무,,84,신메뉴 빠에야가 나왔다고 해서 재방문했습니다.,자유롭고 열정적인 스페인 요리를 방배동에서 만나다 함께한 달달한 스페인 맥주와 와인도 넘 맛있었고요^^,"음식하나하나 진짜 다 맛있어요, 그리고 바스크 치즈케이크도 다른가게보다 훨씬 부드러워요 종종 놀러갈게요"
희희낙락,요리주점,,영업 중,,107,서비스로 감자샐러드 주셨는데 크림 와사비소스(?) 같은 게 느껴져서 특별했고 두유파스타 강추입니다!,"오랜만에 들린 희희낙락에서 맛있는 음식과 술 한잔으로 즐거운 금밤을 보냈어요! ""얼그레이 하이볼"" 강추!","소갈비살철판구이, 두유하이볼, 생맥주 하나 빼놓을 것 없이 진짜 맛도리입니다."
신용산감자탕,감자탕,,영업 중,,411,감자탕만 취급하는 감자탕 전문점이다.이수역에서 도보 5분도 않걸리고 2층에 위치에있다.양이 많은편이다.,시래기의 쓴 맛이 좀 나서 그냥 뼈해장국 추천이요. 뼈고기도 1개!,우리동네 최애 맛집이에요 :) 고기가 잡내 없이 깔끔하고 감자탕중에선 서울에서 최고라고 자부합니다 !
샘골 참숯불 막창구이,"곱창,막창,양",,영업 중,4.55,319,곁들여 먹는 법을 친절하게 설명해주셔서 친구와 맛있는 돼지막창이랑 소갈비를 먹었어요 !,지금까지 먹은 막창 중에 제일 맛있는 곳이에요,이수역최애맛집 갈비살하고 막창 된찌는 갈때마다 먹는데 n년째 먹어도 질리지 않고 한결같은 맛
이수2정육식당,정육식당,,영업 중,4.26,402,고기도 맛나고 가성비가 넘 좋아요 ! 된장찌개도 슴슴하니 솥밥이랑 잘어울려요 :),가마솥밥있는 고깃집 찾기 힘든데 좋아요. 고기도 다른 메뉴도 맛있게 먹었어요.,고기 신선하고 맛있어요 반찬도 셀프라 무제한인거 넘 조아요 ㅎㅎ
호맥 이수점,"맥주,호프",,영업 중,,349,피자같이 잘라먹을수있게 나오는 호떡이에요. 날좋을때 야장에서 먹어도 굿이에요. 2차로 추천!,호떡이 메인 메뉴라니 신기한 마음에 방문하였습니다 호떡 뿐만 아니라 다른 메뉴들도 많아요-!,호맥 첨 먹어봤는데 넘 맛있어서 다른호떡도 궁금 맥주랑 궁합이 좋아요!
제줏간 이수점,돼지고기구이,,영업 중,,664,사이드가 굉장히 저렴해요! 고기도 맛있고 좋음!,일요일 1시경 가니 한가하고 고기도 구워주시네요.,고기도 맛있고 셀프바에 있는 채소도 다양해서 좋습니다 특히 양은메밀냉국수 추천 드려요
태평아구찜&메기매운탕,"해물,생선요리",,영업 중,4.48,331,"아구찜이 맛있어요. 이번달 두번째방문입니다. 여기는 찜이 대,중,소 로 구분되어 좋아요.",오래전부터 방문한 곳이예요. 양이 많고 맛도 무난히 맛있습니다. 볶음밥도 맛있습니다,매기매운탕이 짜지않고 매기 살도 부드럽고 맛있어요. 수제비도 쫄깃해요.
송옥 방배점,"우동,소바",,영업 중,4.27,790,만두뚝배기 국물이 얼큰하고 시원해서 맛있어요.,"돈까스 말고 만두 드세요 만두, 잘먹었습니다.",메뉴도 다양하고 음식도 맛있어요. 분식 땡기면 이곳으로 와요
미하무 mi ha mu,돈가스,,영업 중,,599,튀김옷은 얇으며서 바삭하고 고기는 엄청엄청 부드러워서 배가 불러도 질리지 않고 맛있게 먹었어요,베지테리언도 먹을 수 있는 무 채 소바 채수 장국에 메밀면 넘 맛있어요!,굴카츠도 맛있고 마지막 카레까지 비벼먹음 하루가 행복해요. 공기밥도 서비스로 더 주시니 너무 좋아요.
대동집 이수점,요리주점,,영업 중,,103,대동집 보쌈 양이 엄청 푸짐하고 맛있습니다. 명이나물이나 두부까지 구성도 아주 좋아요. 또 방문할게요!,대동집은 역시 보쌈입니다 한상푸짐하게 나오는 보쌈 최고에요,보쌈집 왜감. 그냥 여기가면 보쌈 더 맛있게 먹기 가능합니다.
생고기제작소 이수점,소고기구이,,영업 중,4.31,456,무한리필 소고기 이용했는데 고기가 너무 좋고 양도 많아요! 같이 먹은 육회랑 냉면도 너무 맛있었습니다,이수역에서 깨끗하고 맛있는 고깃집 원하신다면 여기루 가세요! 번창하세요! 또 방문하겠습니다,소한마리+스톤스테이크 세트 냉면까지 아이랑 셋이 먹었는데 배부르게 잘먹었어요!
오봉집 사당점,한식,,영업 중,4.52,426,매콤불맛 낙지볶음 맛있고 셀프바로 되어있어서 좋아요,보쌈과 낙지볶음을 같이 먹을수 있는 곳으로 정말 가성비 넘치면서 신박하게 어울리는 소주 안주의 조합인듯!,너무 맛있어요 이번에는낙지볶음 먹었지만 다음에는 보쌈먹어봐야겠어요
비엔나커피하우스 이수역점,카페,,영업 중,4.44,999+,위에 크림이 너무 맛있네요 부드럽고 쫀득한 크림이라 쌉사름한 커피와 너무 잘 어울려요,대형카페이지만 사람이 붐비지않아 좋아요. 대화나누기 좋고 커피도 맛있습니다!:),마들렌과 라떼 맛있게 먹었어요! 대화하기에도 좋은 장소에요:)
제비파스타&리조또방배사당점,"스파게티,파스타전문",,영업 중,,733,올때마다 정말 맛있게 먹는 것 같아요 스파게티 먹고 싶을때땐 제비파스타를 찾게 됩니당 ! 감사해요,이수역에서 가깝게 위치한 제비파스타! 알리오제비와 크림제비 먹었는데 양이 엄청 많아서 배부르게 먹었어요,가볍게 파스타 먹으러 와서 저렴한 가격과 엄청난 양에 놀라고 갑니다ㅎㅎ
코우엔,일식당,,오늘 휴무,4.94,121,"찹스테이크, 탄탄면, 나폴리탄 먹었습니다. 사장님이 음식에 정성을 기울이시는 게 느껴집니다.",서울 여행중 우연히 발견한 가게 와우 탄탄면 지대루네요 저녁에도 방문 해 봐야겠어요 ^^,리뷰 잘 안쓰는데 여기 찐자 메뉴마다 다 너무 맛있어요! 특히 탄탄면은 먹어본 탄탄면중에서 젤 맛있었어요
맥도날드 이수점,햄버거,,영업 중,4.15,999+,맥모닝으로 소시지 애그 맥그리들을 먹었어요. 맥머핀과는 다르게 핫케잌빵이라 더 달콤해요,소시지 에그 맥머핀 세트 2개 구입 (4800원x2=9600원) 언제 먹어도 참 맛있음.,가볍게 먹기 좋은곳 따뜻한 카푸치노가 있어 좋아요!
수연숯불갈비,한식,,영업 중,,133,그냥 와서드세요 이모님들 친절하게 고기도 잘구워주시네요 #파전서비스 #게장 #고기굿! #강추!,저는 아묻따 여기가 좋은이유는 요즘 이렇게 밑반찬 푸짐한집이없어요 저 파전이 서비스예요 ?,진짜 노포집 맛있는 갈비집 게장이 정말 맛있어요
BHC치킨 이수점,"치킨,닭강정",,영업 중,4.31,618,치킨 정말 맛있어요^^아이들 때문에 떡볶이도 덜 맵게 부탁드렸는데 아주 맛나게 만들어주셨습니다,사장님 너무 친절하셔서 좋았고 역시나 치킨은 맛있었습니다! 잘 먹고 잘 놀다 왔습니다,사장님 친절하고 치킨이 맛있게 나와요
돼지굴뚝,돼지고기구이,,영업 중,4.31,255,고기가 진짜 맛있어요 왜 다들 웨이팅하는지 알 것 같아요 가격도 저렴해요,고기 질도 좋고 구워줘서 좋아요,"드디어 가본 돼지굴뚝집! 소금구이랑 항정살, 껍데기 먹었는데 너무 맛있게 잘 먹었습니다. 그것도 꿀맛^^"
샤브로21 이수,샤브샤브,,영업 중,,252,"이수에 이런곳이 있다니, 1인 샤브라 혼밥, 입맛 달라도 다 맛있게 먹을 수 있어서 좋아요!",마라샤브에 빠져버렸어요 이수점이 제일 < 맛있어요,너무 너무 맛있어요! 고기도 많이 나오고 야채 구성도 알찼어요.직원분도 넘 친절하세요
오리촌,오리요리,,영업 중,4.22,361,"우렁쌈밥 잘먹고왔네요, 음식 맛있고 양도 넉넉하게 주셔서 좋았습니다.",쌈밥 맛있어요 우렁도 많이 들어있고 밑반찬도 깔끔하니 맛있어요,"9000원에 제육볶음, 된장찌개를 먹다니.! 풍족한 식사 맛있게 먹고가요 :)"
스코넬리 사당점,"카페,디저트",,영업 종료,,688,매번 맛있게 자주 사먹는 곳이에여 배달도 먹고 방문해서도 먹고 포장해서도 먹고!최애 스콘&버터바 카페에요,그동안 맛나게 냠냠 맛난 스콘 좋은 사람들에게 소개하고파서 또 샀네요.,스코넬리 최고 초코케이크 소식듣고 바로 픽업! 꾸덕한 크림 모에요 완전 초코러버픽이에요
이수가 원조,한식,,영업 중,4.28,286,홍어삼합 정말 맛있어요 그리고 해물김치전도 강추 강추-!,사장님도 친절하시고 홍어랑 보쌈 고기까지 너무 조합 최고예요 홍어삼합 인생맛집 조만간 또 먹으러 갈래요,닭볶음탕 맛있네요. 이수가 두군데 있는데 이집이 원조라고 하던데 국물 끝내줍니다.
동두천솥뚜껑삼겹살 이수역점,돼지고기구이,,영업 중,,333,동두천솥뚜껑삼겹살은 제가 정말 좋아하는곳인데 이수역점은 처음 와봤어요! 고기 두께도 두껍고 맛있습니다,삼겹한판 주문 했는데 완전 큰 고기 3개가! 양 진짜 많고 솥뚜껑에 구워서 더 맛있는거 같아요 ㅎㅎ,솥뚜껑 삼겹살 처음먹어보는데 좋아요 고기가 진짜 두툼하게 나와서 육즙을 가득 담고 있어요
봉빌렛,바(BAR),,영업 중,4.92,185,와 수제초콜릿 진짜 맛있어요. 먹어본 중 최고! 재방문의사 100프로,분위기도 좋고 날 좋은저녁 산책하다 한잔하기 좋은 술집이에요,아 칵테일 거의 1년 만이었는데 넘 맛있었어요
아기다람쥐,한식,,영업 중,4.22,405,영양솥밥이 맛있어요 누룽지도 맛있구요 깔끔하게 나오는 밑반찬도 좋아 여성분들 좋아하십니다,밥도 솥밥이고 반찬 국 다 맛있어요 여기 이런 밥집있는지 전혀 몰랐네요,동네 최고 밥집 전도 맛있고 고등어구이도 맛있음
본죽&비빔밥cafe 이수점,죽,,영업 중,4.09,999+,소고기 야채죽은 포장하고 냉이된장 제육비빔밥은 매장안에서 먹었어요,오랜만에 소불고기 비빔밥 주문했어요 맛있게 잘 먹었어요,아플때는 본죽이죠 소분되서 너무 좋아요 전복하나 낙지김치죽하나 해서 두개다
생마차 이수역점,이자카야,,영업 중,,247,맥주가격저렴해서 계속 주문하게 되었네요 재밌었어요,지나가다 닭날개 튀김 싸길래 혼술 했습니다 먹다가 소주 마시고 우동으로 마무리 했네요 혼술 하기 좋더라구요,일본식 선술집이고 간단하게 2차하기 좋은곳입니다
스시코에,"초밥,롤",,영업 중,,211,언제나 즐겁고 맛있는 스시코에 예약하기힘든만큼 좋은 시간보내고왔습니다,가성비가 정말 좋아요 이렇게 저렴하면서 양많고 맛있는 스시집은 처음입니다. 너무 맛있게 잘먹었습니다.,스시는 당연히 좋구 츠마미+솥밥도 맛있는 코에!
종로곱창,"곱창,막창,양",,영업 중,4.43,999+,이수역 시장 안에 있는 종로곱창 집입니다. 처음 생겼을 때부터 자주 가던 곳인데 잡내도 없고 맛납니다.,언제나 와도 정말 맛있고 양도 푸짐한 종로곱창 볶음밥 대박 맛있네요,양도 푸짐하고 맛있고 진짜 시장안 가성비 맛집이네요^^ 다음번에는 닭갈비먹으러 가겠습니다!
엔제리너스 이수역점,카페,,영업 중,4.35,999+,수빙수 이름이 너무 맘에드네요 ㅋㅋㅋ 올해 첫 빙수 맛있게 잘먹었어욤,스콘이 따듯하고 맛있어서 커피랑 잘어울려요 :),커피도 괜찮고 공간도 넓고 좋아요. 밤 늦게까지 하는것도 장점 같아요.
