가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
토라 강남점,이자카야,,영업 중,,999+,매장 분위기가 힙하고 아늑해요 모듬꼬치 타코야끼 밀푀유나베 시켜서 복분자하이볼 한잔 좋습니다,이자카야 분위기도 좋고 불닭야끼소바 차돌숙주 야끼소바 등 안주 다양하고 하이볼이 맛있어요 분위기도 핫해요,매장도 넓고 안주 가격대들이 저렴한 편이네요! 이자카야 분위기도 좋고 오꼬노미야끼 맛있음!
이자카야나무 서초점,이자카야,,영업 중,4.43,999+,사진이 청하밖에 없지만 회 넘 맛있었어요 오꼬노미야끼도 최고 그리고 김성호 직원분 넘 친절하셨어요,너무 분위기가 좋아요! 데이트 하러 오세요! 스시가 특히 맛있어요!,"이자카야 나무는 너무나 유명한 룸 주점이죠. 2차로 방문했는데, 다행히 자리가 있네요"
조양관한정식,한정식,,영업 중,4.59,999+,프리미엄 도시락답게 반찬 가짓수도 많지만 재료들도 신선하고 다 손이 가는 맛이었어요,양이 진짜 많고 재료들이 신선해요 고급진 상자에 담겨나와 도시락선물로도 품격있어요 강력추천드려요,코스요리가 정말 하나하나 푸짐하니 맛있었어요!
시골야채된장,"찌개,전골",,영업 중,4.3,999+,삼겹살을 주문하면 고기가 나오기 전에 나오는 밑반찬만 먹어봐도 이 집이 맛집이라고 느껴집니다. 추천!,강남까지 왔는데 건강한 야채들과 함께 비빔밥이 먹고 싶어서 인터넷으로 찾아보고 방문했어요!,된찌와 낙지볶음 포장해서 먹었는데 너무 맛있어요 자극적이지않아서 더 손이 가는맛이에요 양도 푸짐하구요
청담이상 강남역점,이자카야,,영업 중,,999+,갈때마다 깔끔하고 프라이빗한 술집! 너무 좋습니다!,모듬꼬치 딱새우 모듬고로케 나가사끼짬뽕 먹었는데 다마싯는데 나가사끼짬뽕은 다른데랑 비교불가입니다.,믿고 가는 청담이상 ! 가면 항상 알탕만 먹어오
파티플레이 뮤직타운 강남역점,요리주점,,영업 중,,999+,분명 노래방을 들어왔는데 디저트집 온줄 분위기랑 음식 데코 굿 페페로니 피자 꼭 먹길 진심 맛있음,우아 이주변에 단골할만한 술집이없었는데 세상에 넘좋은장소에요 여기여긴!,양도많고 맛있공 배부르게 잘 먹었습니다 버팔로윙 왜이렇게맛있나요 ㅋㅋㅋ
모범갈빗살 강남역본점,"육류,고기요리",,영업 중,4.51,999+,정육식당 같은 고기 질이 넘 부드럽고 맛있네요 더워도 진한 곰탕 좋았어요,매장 분위기 좋은 강남역 고기집 특갈비정식 2인 주문했어요. 입구에 주차도 무료로 가능하다고 쓰여있어요.,"특갈빗살 야무지네요 기본으로 나오는 장조림도 최고,"
호미호식 강남본점,일식당,,영업 중,4.92,999+,아기자기한 인테리어랑 색이 너무 예쁜 가게예요 골목통로 바람때문인지 ㅎㅎ 카레는 약간 매콤한 편입니다.,안심블랙카츠와 우나기 마끼 덮밥의 맛의 우위를 가릴 수 없이 맛있었습니다! 다음에 또 방문 하겠습니다:),매장이 넓고 쾌적하네요! 카레도 맛있고 안심도 맛나룡
브릭오븐,피자,,영업 중,4.34,999+,뉴욕 전통의 피자를 파는곳이에요 전 버팔로윙이 새콤매콤한 맛이라 넘 좋았어요,피자 먹으러 다녀왔어요 도우가 이렇게 바삭하고 맛있어도 되나요? 재방문 의사 완전입니당,사진으로 보이듯이 도우가 매우 얇은 피자! 그러다보니 바삭함이 느껴졋어요ㅎ 웨이팅 항상 잇을거같아요!
무한숯불양꼬치&훠궈,양꼬치,,영업 중,4.77,999+,무제한으로 양꼬치랑 훠궈 배터지게 먹었어요 또 가고싶어요,"무한으로 양꼬치 다양하게 즐길수 있고, 훠궈 재료들도 신선하고 좋아요.",양꼬치와 훠궈 무한 을 먹었어요 ! 고기 질도 좋고 재료가 신선해서 추천드리는 맛집이예요
도툼횟집,생선회,,영업 중,4.43,603,사장님 친절하시고 모듬회랑 물회 너무 맛있어요 ^0^,오븐고등어구이 찐맛집 진짜 너무맛있어서 알고나서부터 들리고있어요 완전 단골입니당,강남역에 위치한 도툼횟집 밑반찬이 다양해서 좋았어요 직원분들과 사장님이 친절하십니다:)
bd버거 강남,햄버거,새로오픈,영업 중,,,b^^d 아주 맛있게 잘 먹었습니다 패티가 끝내줘영 수제버거 맛집 맞습니다요,새우 패티도 바삭하고 번도 느끼하지 않아요. 와사비코울슬로가 있어서 깔끔한 맛입니다.,시그니처 메뉴들이 하나같이 맛있고 특별합니다! 익숙한 버거들에 지쳤다면 정말 좋는 선택이될거예요!
마유유 마라탕 강남역점,중식당,,영업 중,5,999+,점심 메뉴로 우육면 가성비 갑. 꿔바로유는 무조건 시켜주세요! 마라떡볶이랑 조합 굳 !,쿠팡이츠 배달가격(점심특선 마라샹궈덮밥)이 조금더 싼거같아요. 맛은 역시 맛있어요!,"어나더 클래스의 마라탕 집, 33000원에 꿔바로우까지 고퀄리티의 마라 음식들을 즐길 수 있는 집이다"
강남역파스타,"스파게티,파스타전문",,영업 중,4.58,999+,"키오스크로 주문, 번호표로 푸드코트 느낌이에요 파스타 양이 많아서 놀랐어요",파스타와 피자 모두 맛있어요 셀프 키오스크 주문이고 휴게소처럼응식먹은후 직접 정리해야합니다,오랜만에 만족한 양식집입니다! 가격이 없는 편은 아니지만 그만큼 양도 많고 맛있었어요!
스시이안앤 강남역점,"초밥,롤",,영업 중,,999+,"회전초밥을 좋아해서 여러군데를 다녀봤는데, 스시이안앤은 메뉴구성이 좋았어요 종종올게요!",안녕하세요! 오늘 혼자 스시이안앤에 다녀왔어요. 처음 가본 곳이었는데 정말 좋았어요.,다른 지점에 비해 밥이 좀 많지만 초밥이 신선하고 다양합니다.
왓쇼이켄,일본식라면,,영업 중,4.54,999+,와보고 싶던 왓쇼이켄! 굿굿입니다 아까라멘 돈코츠라멘 가라야게 먹었어요 돈코츠라멘 맛있고요,가라아게는 수제일 수 밖에 없는 크기에 쯔유를 사용해서 반죽을 입히신 것 같은데 괜찮았다 건강하세요!,비 내리는 날 맛있게 깊은 사골 돈코츠 라멘 한 그릇 잘 먹고 갑니다
돈비고고 강남본점,돈가스,,영업 중,,,강남역에서 핵가성비 밥집! 돈까스 제육 잡채 떡볶이등 무한인데 맛도 있음!,좋아여 돈까스 무한리필 가성비갑ㅎㅎ 벌써 다섯번째 네요 수제 맥주도 맛있을거 같은데 담에 먹어 보는거걸로ㅎ,가성비 너어무 좋고 맛있어요 ! 돈까스 하나만 먹어도 배부르네요 ㅎㅎ 제육 잡채 떡볶이도 짱이에요
백억하누 강남본점,소고기구이,,영업 중,4.54,999+,한우라 그런지 진짜 고기가 입안에서 녹아요 너무 부드럽고 맛있어요,"집같은 정원, 교외같아서 좋습니다. 삼합 추천합니다.재방문입니다.","백억삼합 최고로 맛나요 고소한차돌에 전복, 관자^^ 담에 또 먹으러갈래요"
아실라 강남점,와인,,영업 중,4.43,999+,"이국적인 분위기에 모나코식 음식 얼그레이 하이볼로 즐거웠던 곳, 아실라 입니다. 재방문각입니다.",파스타 뿐만 아니라 다른 음식도 맛있었습니다. 다음에 또 방문 하도록 하겠습니다.,카운터부터 세련되서 분위기가 좋았어요. 파스타는 바질페스토 주문했는데 이 것도 맛있었습니다!
주인장,요리주점,,영업 중,,501,닭볶음탕 시키고 먹은 볶음밥 종맛이에요. 탕수육도 맛있고 육회도 맛있어여. 대부분 다 맛있었어요!,문어백합 매운탕 퀄리티가 좋았고 외부까지 매장이 열려 있어 야장하기에도 좋은 곳이었어요,육회랑 닭도리탕 주문했는데 맛있어요 신분증 필수입니다!
라그릴리아 SPC스퀘어점,이탈리아음식,,영업 중,,,"세트구성이 아주 잘되어있고, 스탭들 서비스가 아주 친절 정확함! 리조또보단 파스타가 양이 많다.",맛있어요! 생일이라 축하할겸사 파스타먹으러 왔는데 맛있게 잘 먹고 갑니다.,파스타가 너무 맛있어서 자주가요! 강남에서 편하게 지인 모임하기 좋아요 6월까지 두달간 휴무네요
시부야 네코,이자카야,,영업 중,,999+,힙한 분위기에 모둠꼬치와 닭튀김이 너무 맛있었던 곳! 맛있게 먹고 갑니다,개인적으로 저는 닭껍질꼬치? 완전 제 취향이었어요 여기여긴 찐 맛집이라 그런지 사람 엄청 많았어요,맥주 가성비 좋구 안주도 빨리 나와서 맛있게 먹었습니다. 사람이 많아요
아트몬스터 강남역점,"맥주,호프",,영업 중,4.55,999+,직접 양조한 맥주부터 외국의 다양한 맥주들 심지어 람빅 맥주도 있었다.,제작년부터 지점 도장깨기 하러 다닙니다. 맥주는 명불허전이라. 무조건 강추드려요.,두번 세번 먹어야 함. 오징어채튀김도 맛잇어요!
빨간의자집 강남역점,"육류,고기요리",,영업 중,,999+,고기도 맛있고 야채 종류도 많고 신선해서 너무 만족스러웠어요! 사이드인 김치볶음밥도 강추!,직접 구워져서 나오니 너무 좋아요 매장도 넓고 주차도 되네요 고기질도 좋아요 또 갈께요 잘 먹었습니다,바베큐 땡길때땐 멀리갈필요 없이 강남역 빨간의자집으로 가면 될것같아요 친구들이 캠핑하는 기분도들고 딱이네요
압구정화로구이 교대역점,"육류,고기요리",,영업 중,,552,"화로한판이랑 김치찌개 시켜서 토시살, 갈비살, 살치살 먹었어용! 매장도 넓고 깨끗하구요",둘이서 화로한판시켜먹었는데 배터지게 먹었어요! 고기질도 너무 좋고 밑반찬도 너무 깔끔하고 신선했어요,남자친구랑 같이 토요일 점심 방문했는데 알찬 소고기 메뉴 구성에 둘다 배 터지게 먹고 왔어요
제주흑다돈 강남직영점,돼지고기구이,,24시간 영업,4.35,999+,강남역에서 삼겹살 즐겼던 제주 흑다돈. 모임하기에도 좋고 가격도 착하고 직원들 친절한 강남역 고기집이다,가성비에 고기질도 좋고 맛있어요. 친구들이랑 배불리 잘 먹었네요,계란찜 맛있어요 . 고기를 직접 구워주시네요.
퀸즈가든 강남역점,샤브샤브,,영업 중,4.33,999+,샤브샤브랑 고기 구워서 같이 먹을 수 있어서 좋아요! 게다가 6천원만 내면 맥주 무한리필이라 짱 좋습니다,"샤브샤브부터 월남쌈, 차돌박이+훈제오리+우삼겹+삼겹살, 생맥까지 무한리필.이런집은 첨봤네요",샤브샤브에 월남쌈에 구운고기까지 한 자리에서 즐길 수 있는 곳이에요.
